Checkpoint,Tiempo Absoluto (seg),Tiempo Desde Anterior (seg),Muertes entre checkpoints,Muertes totales,Muertes por enemigos,Muertes por vacío,Disparos Blaster,Acertados Blaster,Fallados Blaster,Precisión Blaster (%),Disparos Escopeta,Acertados Escopeta,Fallados Escopeta,Precisión Escopeta (%),Disparos Totales,Acertados Totales,Fallados Totales,Precisión Total (%)
Checkpoint_1,0.40,0.00,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
Checkpoint_2,58.08,57.68,2,2,1,1,36,28,8,77.8,3,3,0,100.0,39,31,8,79.5
Checkpoint_3,73.44,15.36,0,2,0,0,13,13,0,100.0,2,2,0,100.0,15,15,0,100.0
Checkpoint_4,107.24,33.80,1,3,0,1,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
