Checkpoint,Tiempo Absoluto (seg),Tiempo Desde Anterior (seg),Muertes entre checkpoints,Muertes totales,Muertes por enemigos,Muertes por vacío,Enemigos eliminados,Disparos Blaster,Acertados Blaster,Fallados Blaster,Precisión Blaster (%),Disparos Escopeta,Acertados Escopeta,Fallados Escopeta,Precisión Escopeta (%),Disparos Totales,Acertados Totales,Fallados Totales,Precisión Total (%)
Checkpoint_1,0.34,0.00,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
Checkpoint_2,46.26,45.92,0,0,0,0,0,47,28,19,59.6,3,2,1,66.7,50,30,20,60.0
Checkpoint_3,56.66,10.40,0,0,0,0,0,10,10,0,100.0,3,1,2,33.3,13,11,2,84.6
