Checkpoint,Tiempo Absoluto (seg),Tiempo Desde Anterior (seg),Muertes entre checkpoints,Muertes totales,Muertes por enemigos,Muertes por vacío,Disparos Blaster,Acertados Blaster,Fallados Blaster,Precisión Blaster (%),Disparos Escopeta,Acertados Escopeta,Fallados Escopeta,Precisión Escopeta (%),Disparos Totales,Acertados Totales,Fallados Totales,Precisión Total (%)
Checkpoint_1,0.34,0.00,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
Checkpoint_2,39.32,38.98,0,0,0,0,0,0,53,42.0,11,79.24529,0,0.0,0,0,53,42.0
Checkpoint_3,48.18,8.86,0,0,0,0,0,0,15,15.0,0,100,2,2.0,0,100,17,17.0
Checkpoint_4,84.84,36.66,2,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
